s2id,label,anchor_group,lat,lon
10669eab,"PUNTA EUROPA TERMINAL,GNQ",309,3.7777611172401917,8.75093287524863
10669b83,"PUNTA EUROPA TERMINAL,GNQ",309,3.7884628714218462,8.704830045852335
10669be7,"PUNTA EUROPA TERMINAL,GNQ",309,3.7980754867376705,8.740205036572481
10669bfb,"PUNTA EUROPA TERMINAL,GNQ",309,3.7879176958773106,8.740579043157348
10669bdb,"PUNTA EUROPA TERMINAL,GNQ",309,3.8079751388101863,8.7402924927695
10669bff,"PUNTA EUROPA TERMINAL,GNQ",309,3.7835749630251363,8.745491675255652
10669b7d,"PUNTA EUROPA TERMINAL,GNQ",309,3.7828140807958195,8.697843504943371
10669be5,"PUNTA EUROPA TERMINAL,GNQ",309,3.7933996057374064,8.740419656503457
10669bdd,"PUNTA EUROPA TERMINAL,GNQ",309,3.8031283687355995,8.740173583062738
10669bfd,"PUNTA EUROPA TERMINAL,GNQ",309,3.788019061169016,8.746237614917053
1066b591,"LIMBOH TERMINAL,CMR",310,4.0065167892420694,9.13209403154796
1066b595,"LIMBOH TERMINAL,CMR",310,4.002121961384026,9.127898406620655
106787c3,"CALABAR,NGA",311,4.98293341875022,8.322222130503894
106787c5,"CALABAR,NGA",311,4.976528334254731,8.323681008878303
106787df,"CALABAR,NGA",311,4.983700131643018,8.312125125500225
106787cf,"CALABAR,NGA",311,4.973992675330839,8.32288966944903
106788b7,"CALABAR,NGA",312,4.933494966814616,8.288050224625934
106788b9,"CALABAR,NGA",312,4.937119045662791,8.28976212405126
106788c9,"CALABAR,NGA",312,4.931935371058692,8.286194597748613
106788cb,"CALABAR,NGA",312,4.927970623897965,8.283706606975349
1067d44d,"ONNE,NGA",313,4.410820552372773,7.832452509935448
1067d5b3,"OKORO FIELD,NGA",313,4.409426825096771,7.824900676483428
10683519,"OKRIKA,NGA",314,4.723652712856149,7.118371067821334
1069cacf,"OKRIKA,NGA",314,4.719927210910912,7.085940778286447
1069cad1,"OKRIKA,NGA",314,4.722843509626339,7.0841422643092
10684a41,"ONNE,NGA",315,4.668614634845623,7.153962640244982
10684a0b,"ONNE,NGA",315,4.688552370945522,7.158119003753887
10684a75,"ONNE,NGA",315,4.686609012609169,7.157361015833657
10684a73,"ONNE,NGA",315,4.683251520085712,7.156801912605507
106835f5,"ONNE,NGA",315,4.694953638618498,7.1591647109116865
10684a15,"ONNE,NGA",315,4.673530349386234,7.1589561499025605
10684a0d,"ONNE,NGA",315,4.6834120539093265,7.158948936577394
10684a13,"ONNE,NGA",315,4.678432419398095,7.158968311222365
10684a3f,"ONNE,NGA",315,4.668286610139808,7.1587472857037975
106835f7,"ONNE,NGA",315,4.695206017787844,7.16579639356807
10684a6d,"ONNE,NGA",315,4.678362553259325,7.155907241701286
106835f3,"ONNE,NGA",315,4.696809525181817,7.160635699545812
